TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    78431    0.080    0.000    0.132    0.000 linalg.py:129(_complexType)
        1    0.076    0.076  838.174  838.174 mesh.py:16(<module>)
    85201    0.072    0.000    0.072    0.000 fromnumeric.py:1656(shape)
        1    0.072    0.072    0.072    0.072 {method '__deepcopy__' of 'numpy.ndarray' objects}
        1    0.058    0.058    0.058    0.058 {built-in method numpy.core.multiarray.fromfile}
    85215    0.027    0.000    0.027    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      196    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
    47/46    0.023    0.000    0.027    0.001 {built-in method _imp.create_dynamic}
  410/405    0.014    0.000    0.024    0.000 {built-in method builtins.__build_class__}
    224/1    0.011    0.000  838.174  838.174 {built-in method builtins.exec}
      955    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      418    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    47/40    0.005    0.000    0.021    0.001 {built-in method _imp.exec_dynamic}
      196    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     4903    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
   221/25    0.003    0.000    0.010    0.000 sre_parse.py:470(_parse)
   344/25    0.003    0.000    0.013    0.001 sre_compile.py:64(_compile)
      196    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      196    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      258    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     2127    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      196    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     2127    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
