calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    248/6    0.001    0.000    0.229    0.038 <frozen importlib._bootstrap>:651(_load_unlocked)
    196/6    0.001    0.000    0.228    0.038 <frozen importlib._bootstrap_external>:672(exec_module)
    362/6    0.000    0.000    0.228    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    85201    0.165    0.000    0.218    0.000 numeric.py:1927(isscalar)
   137148    0.214    0.000    0.214    0.000 {built-in method numpy.core.multiarray.zeros}
    71392    0.206    0.000    0.206    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   346/22    0.001    0.000    0.186    0.008 {built-in method builtins.__import__}
 1177/362    0.002    0.000    0.184    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.167    0.167 __init__.py:106(<module>)
    85202    0.110    0.000    0.164    0.000 core.py:6200(isMaskedArray)
        1    0.000    0.000    0.149    0.149 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.132    0.132 type_check.py:3(<module>)
   285568    0.104    0.000    0.104    0.000 shape_base.py:1150(<genexpr>)
    78431    0.061    0.000    0.099    0.000 linalg.py:129(_complexType)
        1    0.000    0.000    0.070    0.070 mesh.py:102(add_dummies)
        1    0.000    0.000    0.070    0.070 copy.py:132(deepcopy)
        1    0.070    0.070    0.070    0.070 {method '__deepcopy__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.063    0.063 npyio.py:280(load)
        1    0.000    0.000    0.063    0.063 format.py:612(read_array)
        1    0.000    0.000    0.059    0.059 npyio.py:449(save)
    85201    0.058    0.000    0.058    0.000 fromnumeric.py:1656(shape)
        3    0.057    0.019    0.057    0.019 {built-in method io.open}
      196    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.054    0.054 __init__.py:90(<module>)
        1    0.051    0.051    0.051    0.051 {built-in method numpy.core.multiarray.fromfile}
        1    0.000    0.000    0.049    0.049 __init__.py:7(<module>)
      196    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      196    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
      258    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        2    0.000    0.000    0.036    0.018 __init__.py:45(<module>)
  248/246    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      253    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        1    0.000    0.000    0.030    0.030 _internal.py:6(<module>)
    85201    0.028    0.000    0.028    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      253    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    47/46    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:919(create_module)
       22    0.001    0.000    0.027    0.001 __init__.py:357(namedtuple)
    47/46    0.023    0.000    0.027    0.001 {built-in method _imp.create_dynamic}
      200    0.001    0.000    0.025    0.000 re.py:286(_compile)
       25    0.000    0.000    0.024    0.001 sre_compile.py:557(compile)
  410/405    0.012    0.000    0.024    0.000 {built-in method builtins.__build_class__}
       60    0.000    0.000    0.024    0.000 re.py:231(compile)
        1    0.000    0.000    0.022    0.022 kdtree.py:3(<module>)
        1    0.000    0.000    0.021    0.021 __init__.py:220(<module>)
      418    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    47/40    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
    47/40    0.004    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.016    0.016 __init__.py:10(<module>)
        1    0.000    0.000    0.015    0.015 _spherical_voronoi.py:6(<module>)
        1    0.000    0.000    0.015    0.015 py3k.py:4(<module>)
        1    0.000    0.000    0.014    0.014 result.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pathlib.py:1(<module>)
        1    0.000    0.000    0.014    0.014 distance.py:72(<module>)
        1    0.000    0.000    0.013    0.013 case.py:1(<module>)
        2    0.000    0.000    0.013    0.006 __init__.py:15(<module>)
       25    0.000    0.000    0.013    0.001 sre_parse.py:844(parse)
        1    0.000    0.000    0.012    0.012 __init__.py:184(<module>)
        1    0.000    0.000    0.012    0.012 utils.py:4(<module>)
        2    0.000    0.000    0.011    0.006 format.py:439(_filter_header)
        1    0.000    0.000    0.011    0.011 format.py:480(_read_array_header)
       45    0.000    0.000    0.011    0.000 tokenize.py:492(_tokenize)
       25    0.000    0.000    0.011    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.011    0.011 csr.py:1(<module>)
       40    0.000    0.000    0.011    0.000 tokenize.py:152(_compile)
        1    0.000    0.000    0.011    0.011 traceback.py:1(<module>)
   344/25    0.002    0.000    0.010    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.010    0.010 linecache.py:6(<module>)
        1    0.000    0.000    0.010    0.010 parse.py:28(<module>)
     2158    0.001    0.000    0.010    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.010    0.010 tokenize.py:21(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:24(<module>)
        1    0.000    0.000    0.008    0.008 compressed.py:1(<module>)
        1    0.000    0.000    0.008    0.008 context.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
